,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Guider,CM,9.9342,13.9486,86.88,13,7,10.96,clear sky
104,Namatanai,PG,-3.6667,152.4333,79.0,84,95,2.68,light rain
105,Ukiah,US,39.1502,-123.2078,51.03,80,0,0.0,clear sky
106,Avarua,CK,-21.2078,-159.775,78.85,89,20,8.05,few clouds
107,Te Anau,NZ,-45.4167,167.7167,48.78,93,84,1.77,broken clouds
108,Lanxi,CN,29.2195,119.477,37.27,96,100,3.18,overcast clouds
109,Tecpan,GT,14.7623,-90.9947,56.52,44,0,4.27,clear sky
110,Yala,TH,6.3333,101.25,72.03,94,12,2.06,few clouds
111,Kropotkin,RU,45.4375,40.5756,28.13,95,83,6.55,light snow
112,Cam Ranh,VN,11.9214,109.1591,75.16,83,20,4.61,few clouds
113,Ingham,US,42.6,-84.3833,14.67,73,100,10.36,overcast clouds
114,Ventspils,LV,57.3894,21.5606,35.53,60,100,23.02,overcast clouds
115,Astana,KZ,51.1801,71.446,-0.45,85,100,8.95,mist
116,Balabac,PH,7.9868,117.0645,79.79,82,99,5.1,overcast clouds
117,Marfino,RU,55.7028,37.3822,21.45,85,75,8.95,snow
118,Srednekolymsk,RU,67.45,153.6833,-19.28,95,99,3.85,overcast clouds
119,Taoudenni,ML,22.6783,-3.9836,83.5,10,87,13.24,overcast clouds
120,Kashi,CN,39.4547,75.9797,31.26,39,40,4.47,scattered clouds
121,Sakakah,SA,29.9697,40.2064,54.97,44,3,3.11,clear sky
122,Yulara,AU,-25.2406,130.9889,84.04,48,75,13.8,broken clouds
123,Kattivakkam,IN,13.2167,80.3167,80.08,79,59,11.43,broken clouds
124,Lumberton,US,34.6182,-79.0086,43.34,34,100,3.65,overcast clouds
125,Maldonado,UY,-34.6667,-54.9167,72.79,44,0,7.76,clear sky
126,Butaritari,KI,3.0707,172.7902,81.75,80,24,17.05,light rain
127,Opuwo,NA,-18.0607,13.84,88.18,20,97,18.86,overcast clouds
